NOME,ANO_INGRESSO_2021,FASE_2021,NIVEL_IDEAL_2021,PEDRA_2021,IAN_2021,IDA_2021,IEG_2021,IAA_2021,IPS_2021,IPP_2021,IPV_2021,INDE_2021,PONTO_VIRADA_2021,REC_AVA_UNIFICADO,DEFASAGEM_2021
ALUNO-1032,2021.0,1.0,3,Ametista,5.0,5.1,8.3,10.0,7.5,8.5,8.3,7.451,0,Mantido na Fase atual,-2.0
ALUNO-1034,2019.0,2.0,3,Ametista,5.0,5.8,9.2,8.0,7.5,8.3,9.0,7.679,1,Promovido de Fase,-1.0
ALUNO-1035,2020.0,1.0,2,Ametista,5.0,6.0,7.9,9.5,6.9,8.8,9.6,7.718,1,Promovido de Fase,-1.0
ALUNO-1038,2021.0,4.0,4,Ágata,10.0,6.5,6.1,8.3,0.0,8.0,7.3,6.619,0,Promovido de Fase,0.0
ALUNO-1043,2021.0,0.0,0,Topázio,10.0,6.8,10.0,9.5,7.5,7.5,7.8,8.367,0,Mantido na Fase atual,0.0
ALUNO-1044,2021.0,0.0,0,Topázio,10.0,5.5,10.0,9.0,7.5,7.5,8.8,8.25,0,Mantido na Fase atual,0.0
ALUNO-1049,2021.0,1.0,2,Ametista,5.0,6.0,8.8,7.9,7.5,8.5,8.1,7.457,0,Mantido na Fase atual,-1.0
ALUNO-1050,2021.0,0.0,0,Topázio,10.0,6.9,10.0,10.0,7.5,7.5,9.5,8.788,1,Mantido na Fase atual,0.0
ALUNO-1051,2019.0,3.0,3,Quartzo,10.0,1.3,1.7,0.0,7.5,6.9,2.9,3.599,0,Mantido na Fase atual,0.0
ALUNO-1055,2021.0,3.0,3,Ágata,10.0,4.7,4.7,7.5,5.0,7.7,7.6,6.421,0,Mantido na Fase atual,0.0
ALUNO-1057,2021.0,3.0,3,Ametista,10.0,5.8,5.6,8.3,7.5,8.3,9.0,7.494,1,Promovido de Fase,0.0
ALUNO-1063,2021.0,0.0,1,Quartzo,5.0,2.3,0.0,9.5,7.5,7.5,7.5,4.9,0,Não avaliado,-1.0
ALUNO-1064,2021.0,0.0,2,Ágata,5.0,6.3,10.0,10.0,0.0,5.0,7.8,6.817,0,Mantido na Fase atual,-2.0
ALUNO-1065,2021.0,0.0,1,Ametista,5.0,7.0,10.0,9.5,7.5,7.5,8.3,8.0,0,Mantido na Fase atual,-1.0
ALUNO-1066,2021.0,3.0,3,Ágata,10.0,5.8,4.7,6.7,7.5,7.3,6.5,6.54,0,Mantido na Fase atual,0.0
ALUNO-1067,2018.0,1.0,2,Topázio,5.0,8.1,10.0,9.5,7.5,8.8,9.2,8.544,1,Promovido de Fase,-1.0
ALUNO-1068,2021.0,6.0,7,Ametista,5.0,6.8,8.6,9.2,7.5,8.1,7.2,7.501,0,Promovido de Fase,-1.0
ALUNO-1070,2019.0,1.0,2,Ametista,5.0,5.4,9.6,9.5,7.5,8.3,8.7,7.758,0,Promovido de Fase,-1.0
ALUNO-1071,2021.0,2.0,3,Ametista,5.0,5.7,7.1,9.5,7.5,7.3,8.6,7.194,0,Mantido na Fase atual,-1.0
ALUNO-1072,2020.0,3.0,3,Ametista,10.0,4.6,5.3,9.2,7.5,7.5,8.2,7.033,0,Promovido de Fase,0.0
ALUNO-1073,2021.0,1.0,2,Ametista,5.0,5.4,8.3,8.5,7.5,7.5,6.6,6.914,0,Mantido na Fase atual,-1.0
ALUNO-1075,2016.0,5.0,5,Ametista,10.0,6.3,7.2,7.5,7.5,7.8,9.4,7.859,1,Promovido de Fase + Bolsa,0.0
ALUNO-1078,2019.0,2.0,3,Quartzo,5.0,0.0,1.7,9.0,8.1,7.7,5.7,4.45,0,Mantido na Fase atual,-1.0
ALUNO-1083,2021.0,2.0,4,Quartzo,5.0,0.0,2.9,0.0,5.0,7.8,5.7,3.498,0,Mantido na Fase atual,-2.0
ALUNO-1084,2019.0,1.0,1,Ametista,10.0,5.6,9.6,8.0,6.9,7.9,8.2,7.954,0,Mantido na Fase atual,0.0
ALUNO-1085,2021.0,4.0,5,Ágata,5.0,3.9,7.5,8.8,7.5,7.3,5.5,6.234,0,Promovido de Fase,-1.0
ALUNO-1086,2021.0,0.0,2,Ametista,5.0,6.2,10.0,7.9,7.5,7.5,8.6,7.746,0,Mantido na Fase atual,-2.0
ALUNO-1087,2018.0,2.0,3,Ametista,5.0,5.0,8.8,8.5,7.5,8.1,8.3,7.329,0,Promovido de Fase,-1.0
ALUNO-1089,2019.0,1.0,2,Ágata,5.0,3.6,2.9,9.0,7.5,7.5,7.2,5.653,0,Mantido na Fase atual,-1.0
ALUNO-1090,2018.0,1.0,2,Ametista,5.0,3.7,8.8,8.5,7.5,7.9,9.0,7.179,1,Mantido na Fase atual,-1.0
ALUNO-1093,2016.0,6.0,3,Ametista,10.0,5.4,7.2,7.9,7.5,8.0,6.8,7.225,0,Promovido de Fase,3.0
ALUNO-1095,2019.0,1.0,0,Topázio,10.0,8.9,9.2,10.0,8.1,9.2,9.7,9.294,1,Promovido de Fase,1.0
ALUNO-1096,,3.0,3,Topázio,10.0,7.5,8.9,10.0,7.5,8.3,9.7,8.814,1,Promovido de Fase + Bolsa,0.0
ALUNO-1098,2021.0,0.0,0,Topázio,10.0,5.3,10.0,10.0,7.5,7.5,8.8,8.313,0,Mantido na Fase atual,0.0
